Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
predictions;lreg.cpp;203;4.8941895961761475;0-10;Double bit-flip
v;lreg.cpp;71;2.771805763244629;0-10;Double bit-flip
_dl_rtld_libname;rtld.c;301;2.1315174102783203;0-10;Double bit-flip
i1;lreg.cpp;103;4.956574201583862;0-10;Double bit-flip
version_info;rtld.c;827;2.629169225692749;0-10;Double bit-flip
a1;lreg.cpp;45;4.882584810256958;0-10;Double bit-flip
temp;lreg.cpp;202;6.944186449050903;0-10;Double bit-flip
two52e;../sysdeps/ieee754/dbl-64/upow.h;55;4.079802989959717;0-10;Double bit-flip
load_time;rtld.c;307;2.6552343368530273;0-10;Double bit-flip
y;lreg.cpp;42;3.6125051975250244;0-10;Double bit-flip
y;lreg.cpp;42;3.5964908599853516;0-10;Double bit-flip
a1;lreg.cpp;45;4.525736093521118;0-10;Double bit-flip
predictions;lreg.cpp;203;6.544888257980347;0-10;Double bit-flip
MSE;lreg.cpp;153;2.9839751720428467;0-10;Double bit-flip
pos;lreg.cpp;101;6.720172882080078;0-10;Double bit-flip
__libc_multiple_libcs;../elf/dl-sysdep.c;60;1.9842529296875;0-10;Double bit-flip
x;lreg.cpp;41;1.2941088676452637;0-10;Double bit-flip
i3;lreg.cpp;87;6.555933952331543;0-10;Double bit-flip
x;lreg.cpp;41;7.490283727645874;0-10;Double bit-flip
__PRETTY_FUNCTION__;rtld.c;0;1.7663443088531494;0-10;Double bit-flip
argc;lreg.cpp;183;9.232436418533325;0-10;Double bit-flip
predictions;lreg.cpp;203;1.0622327327728271;0-10;Double bit-flip
val;lreg.cpp;72;3.357534170150757;0-10;Double bit-flip
iterations;lreg.cpp;141;4.058570146560669;0-10;Double bit-flip
audit_list;rtld.c;142;2.3853092193603516;0-10;Double bit-flip
_dl_rtld_libname2;rtld.c;302;1.6621747016906738;0-10;Double bit-flip
PD;lreg.cpp;118;1.9421353340148926;0-10;Double bit-flip
__pointer_chk_guard_local;rtld.c;96;2.7320477962493896;0-10;Double bit-flip
i1;lreg.cpp;154;5.025222539901733;0-10;Double bit-flip
preloadlist;rtld.c;825;2.4614946842193604;0-10;Double bit-flip
i2;lreg.cpp;154;7.525598526000977;0-10;Double bit-flip
iterations;lreg.cpp;141;7.724757432937622;0-10;Double bit-flip
