numberIterationErrors;maxRelativeError;minRelativeError;averageRelativeError;numberErrorsLessThan0.1;numberErrorsLessThan0.2;numberErrorsLessThan0.3;numberErrorsLessThan0.4;numberErrorsLessThan0.5;numberErrorsLessThan1;numberErrorsLessThan2;numberErrorsLessThan3;numberErrorsLessThan4;numberErrorsLessThan5;numberErrorsLessThan8;numberErrorsLessThan10;numberErrorsLessThan12;numberErrorsLessThan15
8;456.03107490289085;2.6322859479032865;108.34992396079541;0;0;0;0;0;0;0;1;1;1;4;4;4;4
6;9.98295213602725e+80;9.95621323459723e+80;9.965484206899932e+80;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;2.5339486439104878e+26;4.06939069154383e+25;1.0305389742034907e+26;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0.0003437489257764783;0.000181123326868985;0.0002624361263227317;2;2;2;2;2;2;2;2;2;2;2;2;2;2
1;0.000181123326868985;0.000181123326868985;0.000181123326868985;1;1;1;1;1;1;1;1;1;1;1;1;1;1
4;0.0004977402592158839;0.0002205142170876199;0.0003560625139645209;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2;0.0009091074383149415;0.00014284979630347014;0.0005259786173092058;2;2;2;2;2;2;2;2;2;2;2;2;2;2
1;0.0005273093512963627;0.0005273093512963627;0.0005273093512963627;1;1;1;1;1;1;1;1;1;1;1;1;1;1
6;0.004644331303369303;0.0037077547690961997;0.004246169214451313;6;6;6;6;6;6;6;6;6;6;6;6;6;6
8;326441.8239318002;167.51007104134322;63788.134355185255;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;0.0030937403320469244;0.0001460109800341969;0.001420638228790485;7;7;7;7;7;7;7;7;7;7;7;7;7;7
8;2.209618094943452;0.054823582542571865;0.8321415621231373;2;3;3;3;3;5;7;8;8;8;8;8;8;8
8;116.84990309902012;3.4262936572830363;42.60569178470304;0;0;0;0;0;0;0;0;1;1;2;2;2;3
8;896.8821972431338;10.0528600155295;255.62641964767772;0;0;0;0;0;0;0;0;0;0;0;0;1;1
8;597.0196968134474;6.4935194218249075;196.82333391320404;0;0;0;0;0;0;0;0;0;0;1;1;1;1
1;0.00010000260008157992;0.00010000260008157992;0.00010000260008157992;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8;436.5370733216458;15.413833518381534;167.58747803073865;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;281117579439053.75;238691004090512.22;266179008423595.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0.07081227871163495;0.0029016205550905683;0.022814566837907366;8;8;8;8;8;8;8;8;8;8;8;8;8;8
1;0.000181123326868985;0.000181123326868985;0.000181123326868985;1;1;1;1;1;1;1;1;1;1;1;1;1;1
4;1407513327785.9944;757818581924.3358;1011537838635.9878;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8;2181004207928523.5;1852105462170330.5;2065202625249265.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;0.0010312467773685146;0.00011025710853378211;0.000621999064466276;3;3;3;3;3;3;3;3;3;3;3;3;3;3
8;953.6798322505243;10.927887391243754;270.4901458770058;0;0;0;0;0;0;0;0;0;0;0;0;1;1
6;0.14688179691666614;0.00758081145005072;0.051618362841303146;5;6;6;6;6;6;6;6;6;6;6;6;6;6
8;2.067077444223801;1.0372932930032015;1.5961710837906429;0;0;0;0;0;0;6;8;8;8;8;8;8;8
4;77042.31839505397;39861.61171710333;54085.74668825488;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;20.64336691255878;6.447791504484675;11.13899169848937;0;0;0;0;0;0;0;0;0;0;1;3;3;3
8;7.148602660616685e+34;1.148028924165962e+34;2.907287152642226e+34;0;0;0;0;0;0;0;0;0;0;0;0;0;0
